,code1,code2,code3,code4
0,B,C,D,G
1,B,C,D,G
2,U,Q,R,T
3,I,J,X,
4,P,V,,
5,T,,,
6,E,F,D,G
7,Q,R,T,
8,I,J,X,
9,O,P,V,
10,R,T,,
11,B,C,D,G
12,V,,,
13,I,J,X,
14,X,,,
15,L,O,P,V
16,T,,,
17,D,G,,
18,J,X,,
19,D,G,,
20,H,I,J,X
21,C,D,G,
22,T,,,
23,S,R,T,
24,O,P,V,
25,H,I,J,X
26,W,S,R,T
27,W,S,R,T
28,T,,,
29,T,,,
30,L,O,P,V
31,D,G,,
32,F,D,G,
33,L,O,P,V
34,N,O,P,V
35,U,Q,R,T
36,J,X,,
37,W,S,R,T
38,L,O,P,V
39,V,,,
40,F,D,G,
41,S,R,T,
42,R,T,,
43,R,T,,
44,W,S,R,T
45,R,T,,
46,J,X,,
47,X,,,
48,V,,,
49,V,,,
50,N,O,P,V
51,I,J,X,
52,P,V,,
53,N,O,P,V
54,M,O,P,V
55,X,,,
56,P,V,,
57,K,J,X,
58,O,P,V,
59,S,R,T,
60,X,,,
61,K,J,X,
62,J,X,,
63,L,O,P,V
64,M,O,P,V
65,B,C,D,G
66,N,O,P,V
67,D,G,,
68,X,,,
69,V,,,
70,A,C,D,G
71,J,X,,
72,E,F,D,G
73,I,J,X,
74,A,C,D,G
75,T,,,
76,K,J,X,
77,J,X,,
78,U,Q,R,T
79,H,I,J,X
80,Q,R,T,
81,O,P,V,
82,C,D,G,
83,V,,,
84,X,,,
85,Q,R,T,
86,K,J,X,
87,O,P,V,
88,L,O,P,V
89,U,Q,R,T
90,M,O,P,V
91,C,D,G,
92,G,,,
93,D,G,,
94,I,J,X,
95,H,I,J,X
96,L,O,P,V
97,C,D,G,
98,M,O,P,V
99,V,,,
100,T,,,
101,K,J,X,
102,I,J,X,
103,I,J,X,
104,S,R,T,
105,X,,,
106,I,J,X,
107,K,J,X,
108,M,O,P,V
109,L,O,P,V
110,C,D,G,
111,D,G,,
112,B,C,D,G
113,K,J,X,
114,E,F,D,G
115,L,O,P,V
116,V,,,
117,T,,,
118,K,J,X,
119,V,,,
120,V,,,
121,I,J,X,
122,M,O,P,V
123,A,C,D,G
124,P,V,,
125,V,,,
126,A,C,D,G
127,O,P,V,
128,G,,,
129,H,I,J,X
130,C,D,G,
131,T,,,
132,W,S,R,T
133,H,I,J,X
134,I,J,X,
135,Q,R,T,
136,V,,,
137,Q,R,T,
138,G,,,
139,X,,,
140,G,,,
141,B,C,D,G
142,L,O,P,V
143,L,O,P,V
144,F,D,G,
145,E,F,D,G
146,F,D,G,
147,G,,,
148,H,I,J,X
149,I,J,X,
150,G,,,
151,I,J,X,
152,I,J,X,
153,T,,,
154,Q,R,T,
155,I,J,X,
156,P,V,,
157,R,T,,
158,J,X,,
159,X,,,
160,Q,R,T,
161,B,C,D,G
162,A,C,D,G
163,E,F,D,G
164,B,C,D,G
165,B,C,D,G
166,U,Q,R,T
167,P,V,,
168,R,T,,
169,R,T,,
170,H,I,J,X
171,Q,R,T,
172,V,,,
173,V,,,
174,X,,,
175,U,Q,R,T
176,I,J,X,
177,S,R,T,
178,V,,,
179,I,J,X,
180,I,J,X,
181,F,D,G,
182,Q,R,T,
183,P,V,,
184,J,X,,
185,E,F,D,G
186,E,F,D,G
187,N,O,P,V
188,K,J,X,
189,G,,,
190,V,,,
191,B,C,D,G
192,J,X,,
193,K,J,X,
194,D,G,,
195,A,C,D,G
196,X,,,
197,P,V,,
198,I,J,X,
199,H,I,J,X
200,G,,,
201,B,C,D,G
202,H,I,J,X
203,J,X,,
204,H,I,J,X
205,W,S,R,T
206,U,Q,R,T
207,P,V,,
208,H,I,J,X
209,R,T,,
210,B,C,D,G
211,O,P,V,
212,R,T,,
213,O,P,V,
214,F,D,G,
215,A,C,D,G
216,H,I,J,X
217,D,G,,
218,R,T,,
219,V,,,
220,D,G,,
221,O,P,V,
222,W,S,R,T
223,C,D,G,
224,I,J,X,
225,W,S,R,T
226,Q,R,T,
227,X,,,
228,E,F,D,G
229,X,,,
230,N,O,P,V
231,L,O,P,V
232,V,,,
233,Q,R,T,
234,V,,,
235,K,J,X,
236,U,Q,R,T
237,G,,,
238,S,R,T,
239,G,,,
240,I,J,X,
241,H,I,J,X
