,code1,code2,code3,code4
0,N,O,P,V
1,J,X,,
2,V,,,
3,X,,,
4,J,X,,
5,D,G,,
6,W,S,R,T
7,X,,,
8,J,X,,
9,I,J,X,
10,N,O,P,V
11,T,,,
12,B,C,D,G
13,J,X,,
14,O,P,V,
15,B,C,D,G
16,O,P,V,
17,B,C,D,G
18,N,O,P,V
19,T,,,
20,G,,,
21,B,C,D,G
22,F,D,G,
23,I,J,X,
24,K,J,X,
25,P,V,,
26,L,O,P,V
27,M,O,P,V
28,S,R,T,
29,W,S,R,T
30,N,O,P,V
31,F,D,G,
32,M,O,P,V
33,X,,,
34,O,P,V,
35,A,C,D,G
36,V,,,
37,D,G,,
38,I,J,X,
39,J,X,,
40,E,F,D,G
41,O,P,V,
42,C,D,G,
43,M,O,P,V
44,F,D,G,
45,I,J,X,
46,S,R,T,
47,B,C,D,G
48,X,,,
49,H,I,J,X
50,X,,,
51,O,P,V,
52,G,,,
53,V,,,
54,J,X,,
55,W,S,R,T
56,M,O,P,V
57,I,J,X,
58,L,O,P,V
59,P,V,,
60,H,I,J,X
61,N,O,P,V
62,E,F,D,G
63,V,,,
64,P,V,,
65,D,G,,
66,T,,,
67,G,,,
68,K,J,X,
69,E,F,D,G
70,E,F,D,G
71,F,D,G,
72,G,,,
73,B,C,D,G
74,S,R,T,
75,I,J,X,
76,V,,,
77,O,P,V,
78,P,V,,
79,A,C,D,G
80,X,,,
81,G,,,
82,I,J,X,
83,V,,,
84,S,R,T,
85,K,J,X,
86,C,D,G,
87,D,G,,
88,R,T,,
89,G,,,
90,F,D,G,
91,G,,,
92,X,,,
93,E,F,D,G
94,X,,,
95,T,,,
96,V,,,
97,V,,,
98,M,O,P,V
99,N,O,P,V
100,T,,,
101,K,J,X,
102,M,O,P,V
103,L,O,P,V
104,U,Q,R,T
105,V,,,
106,X,,,
107,J,X,,
108,E,F,D,G
109,X,,,
110,W,S,R,T
111,Q,R,T,
112,R,T,,
113,I,J,X,
114,A,C,D,G
115,H,I,J,X
116,D,G,,
117,K,J,X,
118,F,D,G,
119,G,,,
120,K,J,X,
121,F,D,G,
122,N,O,P,V
123,W,S,R,T
124,R,T,,
125,B,C,D,G
126,D,G,,
127,O,P,V,
128,V,,,
129,F,D,G,
130,G,,,
131,I,J,X,
132,W,S,R,T
133,E,F,D,G
134,W,S,R,T
135,W,S,R,T
136,T,,,
137,K,J,X,
138,I,J,X,
139,S,R,T,
140,O,P,V,
141,M,O,P,V
142,N,O,P,V
143,S,R,T,
144,P,V,,
145,P,V,,
146,V,,,
147,M,O,P,V
148,C,D,G,
149,T,,,
150,B,C,D,G
151,G,,,
152,D,G,,
153,B,C,D,G
154,M,O,P,V
155,P,V,,
156,H,I,J,X
157,V,,,
158,C,D,G,
159,Q,R,T,
160,F,D,G,
161,C,D,G,
162,P,V,,
163,O,P,V,
164,G,,,
165,D,G,,
166,D,G,,
167,J,X,,
168,R,T,,
169,W,S,R,T
170,R,T,,
171,H,I,J,X
172,E,F,D,G
173,D,G,,
174,J,X,,
175,G,,,
176,N,O,P,V
177,R,T,,
178,X,,,
179,U,Q,R,T
180,A,C,D,G
181,H,I,J,X
182,Q,R,T,
183,O,P,V,
184,M,O,P,V
185,J,X,,
186,P,V,,
187,C,D,G,
188,H,I,J,X
189,K,J,X,
190,D,G,,
191,C,D,G,
192,E,F,D,G
193,X,,,
194,V,,,
195,I,J,X,
196,X,,,
197,L,O,P,V
198,O,P,V,
199,P,V,,
200,A,C,D,G
201,M,O,P,V
202,D,G,,
203,W,S,R,T
204,S,R,T,
205,J,X,,
206,N,O,P,V
207,A,C,D,G
208,G,,,
209,C,D,G,
210,O,P,V,
211,N,O,P,V
212,R,T,,
213,L,O,P,V
214,F,D,G,
215,X,,,
216,A,C,D,G
217,E,F,D,G
218,L,O,P,V
219,F,D,G,
220,I,J,X,
221,O,P,V,
222,L,O,P,V
223,O,P,V,
224,M,O,P,V
225,O,P,V,
226,K,J,X,
227,L,O,P,V
228,A,C,D,G
229,R,T,,
230,A,C,D,G
231,A,C,D,G
232,V,,,
233,L,O,P,V
234,M,O,P,V
235,I,J,X,
236,N,O,P,V
237,V,,,
238,W,S,R,T
239,B,C,D,G
240,K,J,X,
241,R,T,,
242,Q,R,T,
243,C,D,G,
244,K,J,X,
245,W,S,R,T
246,O,P,V,
247,W,S,R,T
248,R,T,,
249,K,J,X,
250,H,I,J,X
251,V,,,
252,V,,,
253,F,D,G,
254,R,T,,
255,O,P,V,
256,H,I,J,X
257,O,P,V,
258,H,I,J,X
259,J,X,,
260,B,C,D,G
261,T,,,
262,H,I,J,X
263,S,R,T,
264,U,Q,R,T
265,A,C,D,G
266,U,Q,R,T
267,T,,,
268,A,C,D,G
269,K,J,X,
270,T,,,
271,E,F,D,G
272,W,S,R,T
273,F,D,G,
274,W,S,R,T
275,P,V,,
276,P,V,,
277,V,,,
278,R,T,,
279,R,T,,
280,H,I,J,X
281,R,T,,
282,X,,,
283,E,F,D,G
284,A,C,D,G
285,R,T,,
286,C,D,G,
287,X,,,
288,Q,R,T,
289,W,S,R,T
290,F,D,G,
291,A,C,D,G
292,B,C,D,G
293,P,V,,
294,E,F,D,G
295,N,O,P,V
296,J,X,,
297,A,C,D,G
298,F,D,G,
299,H,I,J,X
300,C,D,G,
301,P,V,,
302,N,O,P,V
303,P,V,,
304,T,,,
305,E,F,D,G
306,U,Q,R,T
307,S,R,T,
308,W,S,R,T
309,X,,,
310,R,T,,
311,P,V,,
312,T,,,
313,C,D,G,
314,E,F,D,G
315,B,C,D,G
316,E,F,D,G
317,G,,,
318,K,J,X,
319,N,O,P,V
320,E,F,D,G
321,S,R,T,
322,X,,,
323,Q,R,T,
324,A,C,D,G
325,I,J,X,
326,X,,,
327,D,G,,
328,H,I,J,X
329,L,O,P,V
330,C,D,G,
331,O,P,V,
332,R,T,,
333,W,S,R,T
334,Q,R,T,
335,J,X,,
336,O,P,V,
337,P,V,,
338,D,G,,
339,K,J,X,
340,B,C,D,G
341,A,C,D,G
342,P,V,,
343,N,O,P,V
344,G,,,
345,A,C,D,G
346,X,,,
347,C,D,G,
348,H,I,J,X
349,J,X,,
350,D,G,,
351,Q,R,T,
352,T,,,
353,K,J,X,
354,U,Q,R,T
355,K,J,X,
356,G,,,
357,C,D,G,
